fid,forgid,fconttypeid,fbillno,fbillname,fcontstatusid,fbillstatus,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,fsettletypeid,fcomment,finvoicebiztypeid,ftotalamount,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fbillcretype,fsrcsys,fsrcbillid,fsrcbillnumber,frelatedcontid,fsrcbillentity,fuserid,fdeptid,fconmprop,fprojectid,fmodelcontractid,fchangestatus,fisrenew,fispreview,fmodiflevel,fchangerid,fchangedate,fsubversion,fversion,fcontform,fistax,ftaxrateid,ftaxrate,ftotaltaxamount,ftotalallamount,fsrcsysbillid,fsrcsysbillno,fuppertotalallamount,fcancelreason,fclosereason,fsignmodel,flastupdateuserid,flastupdatetime,fmainpartamount,fpatype,fpartaid,fpaacrmlink,fpbtype,fpartbid,fpbacrmlink,fpctype,fpartcid,fpcacrmlink,fpdtype,fpartdid,fpdacrmlink,fselfposition,fdynfieldstr,fdynfieldstr_tag,forgscope,fispayrate,fpartaname,fpartbname,fpartcname,fpartdname,fiscomptaxrate,fsettleorgid,fsigntaxamount,fsignamount,fsignallamount,fuppersignallamount,famdsourcebillid,fcontstatus11,fcontstatus21,fk_wd57_billno,fk_wd57_contstatus,fcontstatus
65,,,HT2024000065,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2025-05-14,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,6,,mscon_counterpart,5,,,,,,,,,,,,1,国网英大股份有限公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,26316877.0,,,A,A,,A,COMPLETED
66,,,HT2024000066,服务合作合同-汉嘉设计集团股份有限公司,,C,2025-05-19,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,6,,mscon_counterpart,7,,,,,,,,,,,,1,国网英大股份有限公司,汉嘉设计集团股份有限公司,,,1,,0E-10,0E-10,6642117.0,,,A,A,,A,EXECUTING
67,,,HT2024000067,循环交易合同-中国电力建设股份有限公司至珠海珠免集团股份有限公司,,C,2024-12-12,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,6,,bd_customer,20,,,,,,,,,,,,1,中国电力建设股份有限公司,珠海珠免集团股份有限公司,,,1,,0E-10,0E-10,28056437.0,,,A,A,,A,EXECUTING
68,,,HT2024000068,服务合作合同-启迪设计集团股份有限公司,,C,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,1,,mscon_counterpart,9,,,,,,,,,,,,1,中国建筑集团有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,8077355.0,,,A,A,,A,COMPLETED
69,,,HT2024000069,服务合作合同-华东建筑集团股份有限公司,,C,2025-08-23,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,18,,mscon_counterpart,1,,,,,,,,,,,,1,北京城建投资发展股份有限公司,华东建筑集团股份有限公司,,,1,,0E-10,0E-10,27556163.0,,,A,A,,A,COMPLETED
70,,,HT2024000070,循环交易合同-中国石油集团资本股份有限公司至金科地产集团股份有限公司,,C,2025-03-19,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,12,,bd_customer,23,,,,,,,,,,,,1,中国石油集团资本股份有限公司,金科地产集团股份有限公司,,,1,,0E-10,0E-10,7016580.0,,,A,A,,A,EXECUTING
71,,,HT2024000071,建材采购合同-宝山钢铁股份有限公司,,C,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,23,,bd_supplier,1,,,,,,,,,,,,1,金科地产集团股份有限公司,宝山钢铁股份有限公司,,,1,,0E-10,0E-10,42405980.0,,,A,A,,A,COMPLETED
72,,,HT2024000072,循环交易合同-中国中铁股份有限公司至恒大地产集团有限公司,,C,2025-05-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,3,,bd_customer,30,,,,,,,,,,,,1,中国中铁股份有限公司,恒大地产集团有限公司,,,1,,0E-10,0E-10,44650278.0,,,A,A,,A,COMPLETED
73,,,HT2024000073,服务合作合同-汉嘉设计集团股份有限公司,,C,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,9,,mscon_counterpart,7,,,,,,,,,,,,1,中国石油天然气集团有限公司,汉嘉设计集团股份有限公司,,,1,,0E-10,0E-10,40351400.0,,,A,A,,A,COMPLETED
74,,,HT2024000074,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,4,,mscon_counterpart,5,,,,,,,,,,,,1,中建环能科技股份有限公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,6905221.0,,,A,A,,A,EXECUTING
75,,,HT2024000075,建材采购合同-苏州金螳螂建筑装饰股份有限公司,,C,2025-03-06,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,24,,bd_supplier,23,,,,,,,,,,,,1,金融街控股股份有限公司,苏州金螳螂建筑装饰股份有限公司,,,1,,0E-10,0E-10,45922344.0,,,A,A,,A,COMPLETED
76,,,HT2024000076,循环交易合同-北京首都开发股份有限公司至绿地控股集团股份有限公司,,C,2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,25,,bd_customer,15,,,,,,,,,,,,1,北京首都开发股份有限公司,绿地控股集团股份有限公司,,,1,,0E-10,0E-10,21601136.0,,,A,A,,A,EXECUTING
77,,,HT2024000077,服务合作合同-苏州市建筑科学研究院集团股份有限公司,,C,2025-04-04,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,6,,mscon_counterpart,2,,,,,,,,,,,,1,国网英大股份有限公司,苏州市建筑科学研究院集团股份有限公司,,,1,,0E-10,0E-10,14580304.0,,,A,A,,A,COMPLETED
78,,,HT2024000078,服务合作合同-海波重型工程科技股份有限公司,,C,2025-09-02,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,27,,mscon_counterpart,8,,,,,,,,,,,,1,上海陆家嘴金融贸易区开发股份有限公司,海波重型工程科技股份有限公司,,,1,,0E-10,0E-10,47359595.0,,,A,A,,A,COMPLETED
79,,,HT2024000079,建材采购合同-福耀玻璃工业集团股份有限公司,,C,2025-09-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,1,,bd_supplier,28,,,,,,,,,,,,1,中国建筑集团有限公司,福耀玻璃工业集团股份有限公司,,,1,,0E-10,0E-10,30484412.0,,,A,A,,A,COMPLETED
80,,,HT2024000080,建材采购合同-东方电气股份有限公司,,C,2025-04-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,12,,bd_supplier,17,,,,,,,,,,,,1,中国石油集团资本股份有限公司,东方电气股份有限公司,,,1,,0E-10,0E-10,35772805.0,,,A,A,,A,EXECUTING
81,,,HT2024000081,服务合作合同-河北中瓷电子科技股份有限公司,,C,2025-07-10,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,17,,mscon_counterpart,10,,,,,,,,,,,,1,珠海华发实业股份有限公司,河北中瓷电子科技股份有限公司,,,1,,0E-10,0E-10,17744102.0,,,A,A,,A,COMPLETED
82,,,HT2024000082,建材采购合同-福建三钢闽光股份有限公司,,C,2025-10-02,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,6,,bd_supplier,27,,,,,,,,,,,,1,国网英大股份有限公司,福建三钢闽光股份有限公司,,,1,,0E-10,0E-10,18599835.0,,,A,A,,A,COMPLETED
83,,,HT2024000083,循环交易合同-苏宁环球股份有限公司至上海陆家嘴金融贸易区开发股份有限公司,,C,2025-09-16,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,28,,bd_customer,27,,,,,,,,,,,,1,苏宁环球股份有限公司,上海陆家嘴金融贸易区开发股份有限公司,,,1,,0E-10,0E-10,28097905.0,,,A,A,,A,COMPLETED
84,,,HT2024000084,循环交易合同-中国建筑股份有限公司至金科地产集团股份有限公司,,C,2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,1,,bd_customer,23,,,,,,,,,,,,1,中国建筑股份有限公司,金科地产集团股份有限公司,,,1,,0E-10,0E-10,2907251.0,,,A,A,,A,COMPLETED
85,,,HT2024000085,建材采购合同-北新集团建材股份有限公司,,C,2025-09-07,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,12,,bd_supplier,26,,,,,,,,,,,,1,中国石油集团资本股份有限公司,北新集团建材股份有限公司,,,1,,0E-10,0E-10,43059321.0,,,A,A,,A,EXECUTING
86,,,HT2024000086,服务合作合同-启迪设计集团股份有限公司,,C,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,15,,mscon_counterpart,9,,,,,,,,,,,,1,绿地控股集团股份有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,31303099.0,,,A,A,,A,EXECUTING
87,,,HT2024000087,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2025-07-30,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,23,,mscon_counterpart,5,,,,,,,,,,,,1,金科地产集团股份有限公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,12882357.0,,,A,A,,A,EXECUTING
88,,,HT2024000088,循环交易合同-珠海华发实业股份有限公司至杭州滨江房产集团股份有限公司,,C,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,17,,bd_customer,22,,,,,,,,,,,,1,珠海华发实业股份有限公司,杭州滨江房产集团股份有限公司,,,1,,0E-10,0E-10,39816333.0,,,A,A,,A,EXECUTING
89,,,HT2024000089,循环交易合同-中国中铁股份有限公司至北京万通新发展集团股份有限公司,,C,2025-08-08,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,3,,bd_customer,29,,,,,,,,,,,,1,中国中铁股份有限公司,北京万通新发展集团股份有限公司,,,1,,0E-10,0E-10,31576707.0,,,A,A,,A,COMPLETED
90,,,HT2024000090,循环交易合同-恒大地产集团有限公司至南京栖霞建设股份有限公司,,C,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,30,,bd_customer,26,,,,,,,,,,,,1,恒大地产集团有限公司,南京栖霞建设股份有限公司,,,1,,0E-10,0E-10,38649992.0,,,A,A,,A,EXECUTING
91,,,HT2024000091,服务合作合同-苏交科集团股份有限公司,,C,2024-11-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,mscon_counterpart,4,,,,,,,,,,,,1,中国建筑股份有限公司,苏交科集团股份有限公司,,,1,,0E-10,0E-10,13047051.0,,,A,A,,A,COMPLETED
92,,,HT2024000092,服务合作合同-河北中瓷电子科技股份有限公司,,C,2025-06-01,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,14,,mscon_counterpart,10,,,,,,,,,,,,1,中国中车股份有限公司,河北中瓷电子科技股份有限公司,,,1,,0E-10,0E-10,14833173.0,,,A,A,,A,COMPLETED
93,,,HT2024000093,服务合作合同-汉嘉设计集团股份有限公司,,C,2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,mscon_counterpart,7,,,,,,,,,,,,1,中国建筑股份有限公司,汉嘉设计集团股份有限公司,,,1,,0E-10,0E-10,8092959.0,,,A,A,,A,COMPLETED
94,,,HT2024000094,建材采购合同-国电南瑞科技股份有限公司,,C,2025-09-17,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,20,,bd_supplier,18,,,,,,,,,,,,1,龙源电力集团股份有限公司,国电南瑞科技股份有限公司,,,1,,0E-10,0E-10,11775682.0,,,A,A,,A,EXECUTING
95,,,HT2024000095,循环交易合同-北京首都开发股份有限公司至招商局蛇口工业区控股股份有限公司,,C,2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,25,,bd_customer,13,,,,,,,,,,,,1,北京首都开发股份有限公司,招商局蛇口工业区控股股份有限公司,,,1,,0E-10,0E-10,47538615.0,,,A,A,,A,COMPLETED
96,,,HT2024000096,服务合作合同-苏交科集团股份有限公司,,C,2025-05-15,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,27,,mscon_counterpart,4,,,,,,,,,,,,1,上海陆家嘴金融贸易区开发股份有限公司,苏交科集团股份有限公司,,,1,,0E-10,0E-10,8188715.0,,,A,A,,A,EXECUTING
97,,,HT2024000097,服务合作合同-汉嘉设计集团股份有限公司,,C,2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,12,,mscon_counterpart,7,,,,,,,,,,,,1,保利发展控股集团股份有限公司,汉嘉设计集团股份有限公司,,,1,,0E-10,0E-10,15703900.0,,,A,A,,A,COMPLETED
98,,,HT2024000098,服务合作合同-华东建筑集团股份有限公司,,C,2025-05-10,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,11,,mscon_counterpart,1,,,,,,,,,,,,1,中国石油集团工程股份有限公司,华东建筑集团股份有限公司,,,1,,0E-10,0E-10,27374484.0,,,A,A,,A,EXECUTING
99,,,HT2024000099,建材采购合同-广联达科技股份有限公司,,C,2025-08-10,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,30,,bd_supplier,22,,,,,,,,,,,,1,恒大地产集团有限公司,广联达科技股份有限公司,,,1,,0E-10,0E-10,47283599.0,,,A,A,,A,EXECUTING
100,,,HT2024000100,服务合作合同-启迪设计集团股份有限公司,,C,2025-04-13,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,11,,mscon_counterpart,9,,,,,,,,,,,,1,中国石油集团工程股份有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,42685344.0,,,A,A,,A,COMPLETED
